"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","all","PB",0.95,19.973346637963,12,29,2456,"2456.08",,554,2022-05-05,4,2022,93,217,555,554,567,-1,,
"abundance","pevGARCH","all","PB",0.95,20.9848128894117,11,35,2456,"2456.08",,555,2022-05-05,4,2022,93,217,555,554,567,0,,
"abundance","pevGARCH","all","PB",0.95,22.1857179137608,9,38,2456,"2456.08",,556,2022-05-05,5,2022,93,217,555,554,567,1,,
"abundance","pevGARCH","all","PB",0.95,24.0060477007068,9,45,2456,"2456.08",,557,2022-05-05,6,2022,93,217,555,554,567,2,,
"abundance","pevGARCH","all","PB",0.95,25.8400208067199,9,50,2456,"2456.08",,558,2022-05-05,7,2022,93,217,555,554,567,3,,
"abundance","pevGARCH","all","PB",0.95,27.510301923023,9,54,2456,"2456.08",,559,2022-05-05,8,2022,93,217,555,554,567,4,,
"abundance","pevGARCH","all","PB",0.95,28.0326622474946,8,56,2456,"2456.08",,560,2022-05-05,9,2022,93,217,555,554,567,5,,
"abundance","pevGARCH","all","PB",0.95,27.5511652963585,8,53,2456,"2456.08",,561,2022-05-05,10,2022,93,217,555,554,567,6,,
"abundance","pevGARCH","all","PB",0.95,27.5878425111076,8,55,2456,"2456.08",,562,2022-05-05,11,2022,93,217,555,554,567,7,,
"abundance","pevGARCH","all","PB",0.95,27.3094174167339,8,56,2456,"2456.08",,563,2022-05-05,12,2022,93,217,555,554,567,8,,
"abundance","pevGARCH","all","PB",0.95,26.2453801522569,6,53,2456,"2456.08",,564,2022-05-05,1,2023,93,217,555,554,567,9,,
"abundance","pevGARCH","all","PB",0.95,24.9533892777034,6,52,2456,"2456.08",,565,2022-05-05,2,2023,93,217,555,554,567,10,,
"abundance","pevGARCH","all","PB",0.95,24.9589506341255,5,53,2456,"2456.08",,566,2022-05-05,3,2023,93,217,555,554,567,11,,
"abundance","pevGARCH","all","PB",0.95,26.7947497511798,6,57,2456,"2456.08",,567,2022-05-05,4,2023,93,217,555,554,567,12,,
