"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","NaiveArima","controls","DS",0.95,0,-0.753318149837947,0.753318149837947,2419,"2419.04",,554,2022-04-28,4,2022,92,217,554,554,566,0,,
"abundance","NaiveArima","controls","DS",0.95,0,-1.06535274428263,1.06535274428263,2419,"2419.04",,555,2022-04-28,4,2022,92,217,554,554,566,1,,
"abundance","NaiveArima","controls","DS",0.95,0,-1.30478530978311,1.30478530978311,2419,"2419.04",,556,2022-04-28,5,2022,92,217,554,554,566,2,,
"abundance","NaiveArima","controls","DS",0.95,0,-1.50663629967589,1.50663629967589,2419,"2419.04",,557,2022-04-28,6,2022,92,217,554,554,566,3,,
"abundance","NaiveArima","controls","DS",0.95,0,-1.68447059172202,1.68447059172202,2419,"2419.04",,558,2022-04-28,7,2022,92,217,554,554,566,4,,
"abundance","NaiveArima","controls","DS",0.95,0,-1.84524508108045,1.84524508108045,2419,"2419.04",,559,2022-04-28,8,2022,92,217,554,554,566,5,,
"abundance","NaiveArima","controls","DS",0.95,0,-1.9930924825825,1.9930924825825,2419,"2419.04",,560,2022-04-28,9,2022,92,217,554,554,566,6,,
"abundance","NaiveArima","controls","DS",0.95,0,-2.13070548856527,2.13070548856527,2419,"2419.04",,561,2022-04-28,10,2022,92,217,554,554,566,7,,
"abundance","NaiveArima","controls","DS",0.95,0,-2.25995444951384,2.25995444951384,2419,"2419.04",,562,2022-04-28,11,2022,92,217,554,554,566,8,,
"abundance","NaiveArima","controls","DS",0.95,0,-2.38220115623192,2.38220115623192,2419,"2419.04",,563,2022-04-28,12,2022,92,217,554,554,566,9,,
"abundance","NaiveArima","controls","DS",0.95,0,-2.4984736507772,2.4984736507772,2419,"2419.04",,564,2022-04-28,1,2023,92,217,554,554,566,10,,
"abundance","NaiveArima","controls","DS",0.95,0,-2.60957061956622,2.60957061956622,2419,"2419.04",,565,2022-04-28,2,2023,92,217,554,554,566,11,,
"abundance","NaiveArima","controls","DS",0.95,0,-2.71612721597838,2.71612721597838,2419,"2419.04",,566,2022-04-28,3,2023,92,217,554,554,566,12,,
