"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH",0.95,"controls","RM",1.58140324952031,0,7,3087,"3087.14",,565,2023-03-02,2,2023,121,217,565,565,577,0,,
"abundance","nbsGARCH",0.95,"controls","RM",1.18399915349924,0,7,3087,"3087.14",,566,2023-03-02,3,2023,121,217,565,565,577,1,,
"abundance","nbsGARCH",0.95,"controls","RM",0.693837087816529,0,5,3087,"3087.14",,567,2023-03-02,4,2023,121,217,565,565,577,2,,
"abundance","nbsGARCH",0.95,"controls","RM",0.330823794944599,0,3,3087,"3087.14",,568,2023-03-02,5,2023,121,217,565,565,577,3,,
"abundance","nbsGARCH",0.95,"controls","RM",0.157131931023816,0,2,3087,"3087.14",,569,2023-03-02,6,2023,121,217,565,565,577,4,,
"abundance","nbsGARCH",0.95,"controls","RM",0.0945498325144412,0,1,3087,"3087.14",,570,2023-03-02,7,2023,121,217,565,565,577,5,,
"abundance","nbsGARCH",0.95,"controls","RM",0.0758354796019872,0,1,3087,"3087.14",,571,2023-03-02,8,2023,121,217,565,565,577,6,,
"abundance","nbsGARCH",0.95,"controls","RM",0.0818633086931584,0,1,3087,"3087.14",,572,2023-03-02,9,2023,121,217,565,565,577,7,,
"abundance","nbsGARCH",0.95,"controls","RM",0.114689524410783,0,1,3087,"3087.14",,573,2023-03-02,10,2023,121,217,565,565,577,8,,
"abundance","nbsGARCH",0.95,"controls","RM",0.189443208414258,0,2,3087,"3087.14",,574,2023-03-02,11,2023,121,217,565,565,577,9,,
"abundance","nbsGARCH",0.95,"controls","RM",0.337591517920791,0,2,3087,"3087.14",,575,2023-03-02,12,2023,121,217,565,565,577,10,,
"abundance","nbsGARCH",0.95,"controls","RM",0.565379714864915,0,3,3087,"3087.14",,576,2023-03-02,1,2024,121,217,565,565,577,11,,
"abundance","nbsGARCH",0.95,"controls","RM",0.816094409153815,0,5,3087,"3087.14",,577,2023-03-02,2,2024,121,217,565,565,577,12,,
