"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2018-10-12,10,2018,511,"abundance","AutoArima","All","total",95.984765017802,34.2262753919035,157.7432546437,217,510,510
2018-10-12,11,2018,512,"abundance","AutoArima","All","total",106.020718777721,16.3271582545337,195.714279300909,217,510,510
2018-10-12,12,2018,513,"abundance","AutoArima","All","total",114.733335031973,4.35711898072688,225.109551083219,217,510,510
2018-10-12,1,2019,514,"abundance","AutoArima","All","total",122.153519462783,-1.07100067289873,245.378039598464,217,510,510
2018-10-12,2,2019,515,"abundance","AutoArima","All","total",128.472991752219,-3.28910957673864,260.235093081177,217,510,510
2018-10-12,3,2019,516,"abundance","AutoArima","All","total",133.855031833479,-3.76858478788176,271.478648454839,217,510,510
2018-10-12,4,2019,517,"abundance","AutoArima","All","total",138.438698650833,-3.28481066015212,280.162207961818,217,510,510
2018-10-12,5,2019,518,"abundance","AutoArima","All","total",142.342423107601,-2.28213258443918,286.966978799641,217,510,510
2018-10-12,6,2019,519,"abundance","AutoArima","All","total",145.667068035254,-1.02579323016246,292.35992930067,217,510,510
2018-10-12,7,2019,520,"abundance","AutoArima","All","total",148.498534245888,0.323544149755861,296.673524342021,217,510,510
2018-10-12,8,2019,521,"abundance","AutoArima","All","total",150.909980002181,1.66917551520945,300.150784489152,217,510,510
2018-10-12,8,2019,522,"abundance","AutoArima","All","total",152.96371125057,2.95458386654036,302.9728386346,217,510,510
2018-10-12,9,2019,523,"abundance","AutoArima","All","total",154.712791456752,4.14883402190753,305.276748891596,217,510,510
2018-10-12,10,2018,511,"abundance","AutoArima","Controls","total",20,3.24086358265486,36.7591364173451,217,510,510
2018-10-12,11,2018,512,"abundance","AutoArima","Controls","total",20,-3.70099801507034,43.7009980150703,217,510,510
2018-10-12,12,2018,513,"abundance","AutoArima","Controls","total",20,-9.02767576581963,49.0276757658196,217,510,510
2018-10-12,1,2019,514,"abundance","AutoArima","Controls","total",20,-13.5182728346903,53.5182728346903,217,510,510
2018-10-12,2,2019,515,"abundance","AutoArima","Controls","total",20,-17.474568273376,57.474568273376,217,510,510
2018-10-12,3,2019,516,"abundance","AutoArima","Controls","total",20,-21.0513327521909,61.0513327521909,217,510,510
2018-10-12,4,2019,517,"abundance","AutoArima","Controls","total",20,-24.3405071485012,64.3405071485012,217,510,510
2018-10-12,5,2019,518,"abundance","AutoArima","Controls","total",20,-27.4019960301407,67.4019960301407,217,510,510
