"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","pevGARCH","controls","total",20.2556232791809,11,30,0.95,2271,2271.02,NA,552,2022-03-17,1,2022,86,217,553,552,565,-1,NA,NA
"2","abundance","pevGARCH","controls","total",20.2109495036684,10,33,0.95,2271,2271.02,NA,553,2022-03-17,3,2022,86,217,553,552,565,0,NA,NA
"3","abundance","pevGARCH","controls","total",20.0576482021364,8,34,0.95,2271,2271.02,NA,554,2022-03-17,4,2022,86,217,553,552,565,1,NA,NA
"4","abundance","pevGARCH","controls","total",19.3133687890618,7,33,0.95,2271,2271.02,NA,555,2022-03-17,4,2022,86,217,553,552,565,2,NA,NA
"5","abundance","pevGARCH","controls","total",18.3311043592361,6,33,0.95,2271,2271.02,NA,556,2022-03-17,5,2022,86,217,553,552,565,3,NA,NA
"6","abundance","pevGARCH","controls","total",17.0950506051158,6,32,0.95,2271,2271.02,NA,557,2022-03-17,6,2022,86,217,553,552,565,4,NA,NA
"7","abundance","pevGARCH","controls","total",15.9224118488083,5,29,0.95,2271,2271.02,NA,558,2022-03-17,7,2022,86,217,553,552,565,5,NA,NA
"8","abundance","pevGARCH","controls","total",15.1377274278007,4,28,0.95,2271,2271.02,NA,559,2022-03-17,8,2022,86,217,553,552,565,6,NA,NA
"9","abundance","pevGARCH","controls","total",14.7657087455393,4,29,0.95,2271,2271.02,NA,560,2022-03-17,9,2022,86,217,553,552,565,7,NA,NA
"10","abundance","pevGARCH","controls","total",15.0160863442096,4,29,0.95,2271,2271.02,NA,561,2022-03-17,10,2022,86,217,553,552,565,8,NA,NA
"11","abundance","pevGARCH","controls","total",15.6105345773203,4,29,0.95,2271,2271.02,NA,562,2022-03-17,11,2022,86,217,553,552,565,9,NA,NA
"12","abundance","pevGARCH","controls","total",16.5023475841731,4,31,0.95,2271,2271.02,NA,563,2022-03-17,12,2022,86,217,553,552,565,10,NA,NA
"13","abundance","pevGARCH","controls","total",17.3341923354958,5,32,0.95,2271,2271.02,NA,564,2022-03-17,1,2023,86,217,553,552,565,11,NA,NA
"14","abundance","pevGARCH","controls","total",17.8992013372652,5,34,0.95,2271,2271.02,NA,565,2022-03-17,2,2023,86,217,553,552,565,12,NA,NA
