"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","all","SO",0.95,5.37187022629098e-23,0,0,2666,"2666.22",,555,2022-07-07,4,2022,102,217,557,555,569,-2,,
"abundance","pevGARCH","all","SO",0.95,2.40173750349617e-37,0,0,2666,"2666.22",,556,2022-07-07,5,2022,102,217,557,555,569,-1,,
"abundance","pevGARCH","all","SO",0.95,7.39191296308949e-20,0,0,2666,"2666.22",,557,2022-07-07,6,2022,102,217,557,555,569,0,,
"abundance","pevGARCH","all","SO",0.95,7.69986189821928e-8,0,0,2666,"2666.22",,558,2022-07-07,7,2022,102,217,557,555,569,1,,
"abundance","pevGARCH","all","SO",0.95,7.58035878529004e-7,0,0,2666,"2666.22",,559,2022-07-07,8,2022,102,217,557,555,569,2,,
"abundance","pevGARCH","all","SO",0.95,6.50548338755225e-14,0,0,2666,"2666.22",,560,2022-07-07,9,2022,102,217,557,555,569,3,,
"abundance","pevGARCH","all","SO",0.95,4.64036312119345e-31,0,0,2666,"2666.22",,561,2022-07-07,10,2022,102,217,557,555,569,4,,
"abundance","pevGARCH","all","SO",0.95,9.16960836687811e-28,0,0,2666,"2666.22",,562,2022-07-07,11,2022,102,217,557,555,569,5,,
"abundance","pevGARCH","all","SO",0.95,2.22894490219924e-44,0,0,2666,"2666.22",,563,2022-07-07,12,2022,102,217,557,555,569,6,,
"abundance","pevGARCH","all","SO",0.95,2.68370463634847e-71,0,0,2666,"2666.22",,564,2022-07-07,1,2023,102,217,557,555,569,7,,
"abundance","pevGARCH","all","SO",0.95,7.16749321815625e-35,0,0,2666,"2666.22",,565,2022-07-07,2,2023,102,217,557,555,569,8,,
"abundance","pevGARCH","all","SO",0.95,2.83538798135099e-45,0,0,2666,"2666.22",,566,2022-07-07,3,2023,102,217,557,555,569,9,,
"abundance","pevGARCH","all","SO",0.95,8.55925328196874e-29,0,0,2666,"2666.22",,567,2022-07-07,4,2023,102,217,557,555,569,10,,
"abundance","pevGARCH","all","SO",0.95,7.6903157382891e-10,0,0,2666,"2666.22",,568,2022-07-07,5,2023,102,217,557,555,569,11,,
"abundance","pevGARCH","all","SO",0.95,1.12869936990607e-26,0,0,2666,"2666.22",,569,2022-07-07,6,2023,102,217,557,555,569,12,,
