"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-1.5770786424606,1.5770786424606,2786,"2786.18",,559,2022-08-18,8,2022,108,217,558,559,570,1,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-2.10463708159118,2.10463708159118,2786,"2786.18",,560,2022-08-18,9,2022,108,217,558,559,570,2,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-2.52424591629103,2.52424591629103,2786,"2786.18",,561,2022-08-18,10,2022,108,217,558,559,570,3,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-2.88342463862249,2.88342463862249,2786,"2786.18",,562,2022-08-18,11,2022,108,217,558,559,570,4,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-3.20257050622129,3.20257050622129,2786,"2786.18",,563,2022-08-18,12,2022,108,217,558,559,570,5,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-3.4926749130175,3.4926749130175,2786,"2786.18",,564,2022-08-18,1,2023,108,217,558,559,570,6,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-3.76046516387601,3.76046516387601,2786,"2786.18",,565,2022-08-18,2,2023,108,217,558,559,570,7,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-4.01041375040386,4.01041375040386,2786,"2786.18",,566,2022-08-18,3,2023,108,217,558,559,570,8,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-4.2456729325434,4.2456729325434,2786,"2786.18",,567,2022-08-18,4,2023,108,217,558,559,570,9,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-4.46856339899468,4.46856339899468,2786,"2786.18",,568,2022-08-18,5,2023,108,217,558,559,570,10,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-4.6808523851472,4.6808523851472,2786,"2786.18",,569,2022-08-18,6,2023,108,217,558,559,570,11,,
"abundance","ESSS",0.95,"exclosures","SF",5.71587649343361e-79,-4.88392252725629,4.88392252725629,2786,"2786.18",,570,2022-08-18,7,2023,108,217,558,559,570,12,,
