"","currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","ESSS",0.95,"controls","DM",25.8835327093706,18.7253583168939,33.0417071018474,2441,2441.01,NA,554,2022-05-05,4,2022,93,217,555,554,567,-1,NA,NA
"2","abundance","ESSS",0.95,"controls","DM",25.8835327093706,16.8586344649258,34.9084309538155,2441,2441.01,NA,555,2022-05-05,4,2022,93,217,555,554,567,0,NA,NA
"3","abundance","ESSS",0.95,"controls","DM",25.8835327093706,15.3166923106489,36.4503731080924,2441,2441.01,NA,556,2022-05-05,5,2022,93,217,555,554,567,1,NA,NA
"4","abundance","ESSS",0.95,"controls","DM",25.8835327093706,13.9727206589044,37.7943447598369,2441,2441.01,NA,557,2022-05-05,6,2022,93,217,555,554,567,2,NA,NA
"5","abundance","ESSS",0.95,"controls","DM",25.8835327093706,12.7657291054511,39.0013363132902,2441,2441.01,NA,558,2022-05-05,7,2022,93,217,555,554,567,3,NA,NA
"6","abundance","ESSS",0.95,"controls","DM",25.8835327093706,11.6608009365895,40.1062644821518,2441,2441.01,NA,559,2022-05-05,8,2022,93,217,555,554,567,4,NA,NA
"7","abundance","ESSS",0.95,"controls","DM",25.8835327093706,10.6357319902521,41.1313334284892,2441,2441.01,NA,560,2022-05-05,9,2022,93,217,555,554,567,5,NA,NA
"8","abundance","ESSS",0.95,"controls","DM",25.8835327093706,9.67536333527329,42.091702083468,2441,2441.01,NA,561,2022-05-05,10,2022,93,217,555,554,567,6,NA,NA
"9","abundance","ESSS",0.95,"controls","DM",25.8835327093706,8.76879981198363,42.9982656067576,2441,2441.01,NA,562,2022-05-05,11,2022,93,217,555,554,567,7,NA,NA
"10","abundance","ESSS",0.95,"controls","DM",25.8835327093706,7.90789892809953,43.8591664906417,2441,2441.01,NA,563,2022-05-05,12,2022,93,217,555,554,567,8,NA,NA
"11","abundance","ESSS",0.95,"controls","DM",25.8835327093706,7.08638565116394,44.6806797675773,2441,2441.01,NA,564,2022-05-05,1,2023,93,217,555,554,567,9,NA,NA
"12","abundance","ESSS",0.95,"controls","DM",25.8835327093706,6.29930269598174,45.4677627227595,2441,2441.01,NA,565,2022-05-05,2,2023,93,217,555,554,567,10,NA,NA
"13","abundance","ESSS",0.95,"controls","DM",25.8835327093706,5.54265286343486,46.2244125553064,2441,2441.01,NA,566,2022-05-05,3,2023,93,217,555,554,567,11,NA,NA
"14","abundance","ESSS",0.95,"controls","DM",25.8835327093706,4.81315728328318,46.9539081354581,2441,2441.01,NA,567,2022-05-05,4,2023,93,217,555,554,567,12,NA,NA
