"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","pevGARCH","controls","DM",20.2556232791809,12,29,0.95,2156,2156.01,NA,552,2022-02-17,1,2022,82,217,552,552,564,0,NA,NA
"2","abundance","pevGARCH","controls","DM",20.2109495036684,10,32,0.95,2156,2156.01,NA,553,2022-02-17,3,2022,82,217,552,552,564,1,NA,NA
"3","abundance","pevGARCH","controls","DM",20.0576482021364,9,34,0.95,2156,2156.01,NA,554,2022-02-17,4,2022,82,217,552,552,564,2,NA,NA
"4","abundance","pevGARCH","controls","DM",19.3133687890618,7,33,0.95,2156,2156.01,NA,555,2022-02-17,4,2022,82,217,552,552,564,3,NA,NA
"5","abundance","pevGARCH","controls","DM",18.3311043592361,7,32,0.95,2156,2156.01,NA,556,2022-02-17,5,2022,82,217,552,552,564,4,NA,NA
"6","abundance","pevGARCH","controls","DM",17.0950506051158,6,31,0.95,2156,2156.01,NA,557,2022-02-17,6,2022,82,217,552,552,564,5,NA,NA
"7","abundance","pevGARCH","controls","DM",15.9224118488083,5,29,0.95,2156,2156.01,NA,558,2022-02-17,7,2022,82,217,552,552,564,6,NA,NA
"8","abundance","pevGARCH","controls","DM",14.9258966672637,4,26,0.95,2156,2156.01,NA,559,2022-02-17,8,2022,82,217,552,552,564,7,NA,NA
"9","abundance","pevGARCH","controls","DM",14.8388398281577,4,27,0.95,2156,2156.01,NA,560,2022-02-17,9,2022,82,217,552,552,564,8,NA,NA
"10","abundance","pevGARCH","controls","DM",15.0612377927261,5,27,0.95,2156,2156.01,NA,561,2022-02-17,10,2022,82,217,552,552,564,9,NA,NA
"11","abundance","pevGARCH","controls","DM",15.6315421901668,4,28,0.95,2156,2156.01,NA,562,2022-02-17,11,2022,82,217,552,552,564,10,NA,NA
"12","abundance","pevGARCH","controls","DM",16.5647744230776,4,30,0.95,2156,2156.01,NA,563,2022-02-17,12,2022,82,217,552,552,564,11,NA,NA
"13","abundance","pevGARCH","controls","DM",17.4126598411173,4,31,0.95,2156,2156.01,NA,564,2022-02-17,1,2023,82,217,552,552,564,12,NA,NA
