"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-06-09",4,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",19.5638819349235,11,28,"2577.1",2577,NA,555,217,556,555,568,-1,NA,NA
"2022-06-09",5,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",17.8761061865624,9,29,"2577.1",2577,NA,556,217,556,555,568,0,NA,NA
"2022-06-09",6,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",16.2910271167234,6,29,"2577.1",2577,NA,557,217,556,555,568,1,NA,NA
"2022-06-09",7,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",15.0894476898114,6,27,"2577.1",2577,NA,558,217,556,555,568,2,NA,NA
"2022-06-09",8,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",14.4431835650906,4,27,"2577.1",2577,NA,559,217,556,555,568,3,NA,NA
"2022-06-09",9,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",14.4146285581923,4,28,"2577.1",2577,NA,560,217,556,555,568,4,NA,NA
"2022-06-09",10,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",14.9449283823745,4,30,"2577.1",2577,NA,561,217,556,555,568,5,NA,NA
"2022-06-09",11,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",15.8857618303449,4,31,"2577.1",2577,NA,562,217,556,555,568,6,NA,NA
"2022-06-09",12,2022,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",17.03824729933,4,34,"2577.1",2577,NA,563,217,556,555,568,7,NA,NA
"2022-06-09",1,2023,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",18.10027590966,5,35,"2577.1",2577,NA,564,217,556,555,568,8,NA,NA
"2022-06-09",2,2023,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",18.6948430286055,5,35,"2577.1",2577,NA,565,217,556,555,568,9,NA,NA
"2022-06-09",3,2023,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",18.601644603431,5,34,"2577.1",2577,NA,566,217,556,555,568,10,NA,NA
"2022-06-09",4,2023,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",17.8431224998939,5,33,"2577.1",2577,NA,567,217,556,555,568,11,NA,NA
"2022-06-09",5,2023,"abundance","nbsGARCH",98,0.95,"dm_controls","DM",16.6446880832754,5,31,"2577.1",2577,NA,568,217,556,555,568,12,NA,NA
