"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH",0.95,"controls","RM",0.0636315699502863,0,1,2839,"2839.15",,559,2022-09-01,8,2022,110,217,559,559,571,0,,
"abundance","nbsGARCH",0.95,"controls","RM",0.0817542393527505,0,1,2839,"2839.15",,560,2022-09-01,9,2022,110,217,559,559,571,1,,
"abundance","nbsGARCH",0.95,"controls","RM",0.124058643008286,0,1,2839,"2839.15",,561,2022-09-01,10,2022,110,217,559,559,571,2,,
"abundance","nbsGARCH",0.95,"controls","RM",0.218327293509949,0,2,2839,"2839.15",,562,2022-09-01,11,2022,110,217,559,559,571,3,,
"abundance","nbsGARCH",0.95,"controls","RM",0.387208932924718,0,3,2839,"2839.15",,563,2022-09-01,12,2022,110,217,559,559,571,4,,
"abundance","nbsGARCH",0.95,"controls","RM",0.638127635469816,0,4,2839,"2839.15",,564,2022-09-01,1,2023,110,217,559,559,571,5,,
"abundance","nbsGARCH",0.95,"controls","RM",0.851736639004924,0,6,2839,"2839.15",,565,2022-09-01,2,2023,110,217,559,559,571,6,,
"abundance","nbsGARCH",0.95,"controls","RM",0.836320087789676,0,6,2839,"2839.15",,566,2022-09-01,3,2023,110,217,559,559,571,7,,
"abundance","nbsGARCH",0.95,"controls","RM",0.568357587435197,0,3,2839,"2839.15",,567,2022-09-01,4,2023,110,217,559,559,571,8,,
"abundance","nbsGARCH",0.95,"controls","RM",0.293476296481634,0,2,2839,"2839.15",,568,2022-09-01,5,2023,110,217,559,559,571,9,,
"abundance","nbsGARCH",0.95,"controls","RM",0.143516822534696,0,1,2839,"2839.15",,569,2022-09-01,6,2023,110,217,559,559,571,10,,
"abundance","nbsGARCH",0.95,"controls","RM",0.0863987043215094,0,1,2839,"2839.15",,570,2022-09-01,7,2023,110,217,559,559,571,11,,
"abundance","nbsGARCH",0.95,"controls","RM",0.0689028807890323,0,1,2839,"2839.15",,571,2022-09-01,8,2023,110,217,559,559,571,12,,
