"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-06-23",4,2022,"abundance","pevGARCH","all","DM",100,0.95,45.0325385736733,33,58,"2622.2",2622,NA,555,217,556,555,568,-1,NA,NA
"2022-06-23",5,2022,"abundance","pevGARCH","all","DM",100,0.95,41.9999114341018,26,59,"2622.2",2622,NA,556,217,556,555,568,0,NA,NA
"2022-06-23",6,2022,"abundance","pevGARCH","all","DM",100,0.95,38.3358326880187,21,56,"2622.2",2622,NA,557,217,556,555,568,1,NA,NA
"2022-06-23",7,2022,"abundance","pevGARCH","all","DM",100,0.95,35.1713275068326,18,55,"2622.2",2622,NA,558,217,556,555,568,2,NA,NA
"2022-06-23",8,2022,"abundance","pevGARCH","all","DM",100,0.95,32.7110806595901,17,53,"2622.2",2622,NA,559,217,556,555,568,3,NA,NA
"2022-06-23",9,2022,"abundance","pevGARCH","all","DM",100,0.95,31.8271575557224,14,53,"2622.2",2622,NA,560,217,556,555,568,4,NA,NA
"2022-06-23",10,2022,"abundance","pevGARCH","all","DM",100,0.95,32.0904967417194,13,53,"2622.2",2622,NA,561,217,556,555,568,5,NA,NA
"2022-06-23",11,2022,"abundance","pevGARCH","all","DM",100,0.95,33.2630652583237,14,56,"2622.2",2622,NA,562,217,556,555,568,6,NA,NA
"2022-06-23",12,2022,"abundance","pevGARCH","all","DM",100,0.95,35.0053922268322,15,58,"2622.2",2622,NA,563,217,556,555,568,7,NA,NA
"2022-06-23",1,2023,"abundance","pevGARCH","all","DM",100,0.95,36.3324440540544,15,60,"2622.2",2622,NA,564,217,556,555,568,8,NA,NA
"2022-06-23",2,2023,"abundance","pevGARCH","all","DM",100,0.95,36.8613412209729,15,61,"2622.2",2622,NA,565,217,556,555,568,9,NA,NA
"2022-06-23",3,2023,"abundance","pevGARCH","all","DM",100,0.95,34.7025540617462,15,57,"2622.2",2622,NA,566,217,556,555,568,10,NA,NA
"2022-06-23",4,2023,"abundance","pevGARCH","all","DM",100,0.95,31.8728716207798,13,54,"2622.2",2622,NA,567,217,556,555,568,11,NA,NA
"2022-06-23",5,2023,"abundance","pevGARCH","all","DM",100,0.95,29.5912436455361,12,50,"2622.2",2622,NA,568,217,556,555,568,12,NA,NA
