"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","DO",0.95,2.96523039423279,0,7,2975,"2975.03",,559,2022-10-13,8,2022,116,217,560,559,572,-1,,
"abundance","pevGARCH","controls","DO",0.95,2.931776435647,0,8,2975,"2975.03",,560,2022-10-13,9,2022,116,217,560,559,572,0,,
"abundance","pevGARCH","controls","DO",0.95,2.92245101017986,0,9,2975,"2975.03",,561,2022-10-13,10,2022,116,217,560,559,572,1,,
"abundance","pevGARCH","controls","DO",0.95,2.95998999067016,0,9,2975,"2975.03",,562,2022-10-13,11,2022,116,217,560,559,572,2,,
"abundance","pevGARCH","controls","DO",0.95,3.04377117866064,0,9,2975,"2975.03",,563,2022-10-13,12,2022,116,217,560,559,572,3,,
"abundance","pevGARCH","controls","DO",0.95,3.15978709427055,0,10,2975,"2975.03",,564,2022-10-13,1,2023,116,217,560,559,572,4,,
"abundance","pevGARCH","controls","DO",0.95,3.28307382148986,0,10,2975,"2975.03",,565,2022-10-13,2,2023,116,217,560,559,572,5,,
"abundance","pevGARCH","controls","DO",0.95,3.40649873962521,0,10,2975,"2975.03",,566,2022-10-13,3,2023,116,217,560,559,572,6,,
"abundance","pevGARCH","controls","DO",0.95,3.38357431553482,0,11,2975,"2975.03",,567,2022-10-13,4,2023,116,217,560,559,572,7,,
"abundance","pevGARCH","controls","DO",0.95,3.31390914156524,0,10,2975,"2975.03",,568,2022-10-13,5,2023,116,217,560,559,572,8,,
"abundance","pevGARCH","controls","DO",0.95,3.22149423304313,0,10,2975,"2975.03",,569,2022-10-13,6,2023,116,217,560,559,572,9,,
"abundance","pevGARCH","controls","DO",0.95,3.13137090219135,0,10,2975,"2975.03",,570,2022-10-13,7,2023,116,217,560,559,572,10,,
"abundance","pevGARCH","controls","DO",0.95,3.07345367649386,0,9,2975,"2975.03",,571,2022-10-13,8,2023,116,217,560,559,572,11,,
"abundance","pevGARCH","controls","DO",0.95,3.03042246144651,0,9,2975,"2975.03",,572,2022-10-13,9,2023,116,217,560,559,572,12,,
