"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH",0.95,"controls","PP",51.6778251676744,9,126,2949,"2949.14",,559,2022-10-06,8,2022,115,217,560,559,572,-1,,
"abundance","nbsGARCH",0.95,"controls","PP",35.5639288861597,3,112,2949,"2949.14",,560,2022-10-06,9,2022,115,217,560,559,572,0,,
"abundance","nbsGARCH",0.95,"controls","PP",23.7931704414668,1,79,2949,"2949.14",,561,2022-10-06,10,2022,115,217,560,559,572,1,,
"abundance","nbsGARCH",0.95,"controls","PP",16.9373790849538,0,66,2949,"2949.14",,562,2022-10-06,11,2022,115,217,560,559,572,2,,
"abundance","nbsGARCH",0.95,"controls","PP",13.7300811555767,0,50,2949,"2949.14",,563,2022-10-06,12,2022,115,217,560,559,572,3,,
"abundance","nbsGARCH",0.95,"controls","PP",12.9890393691838,0,52,2949,"2949.14",,564,2022-10-06,1,2023,115,217,560,559,572,4,,
"abundance","nbsGARCH",0.95,"controls","PP",14.5646343269672,0,59,2949,"2949.14",,565,2022-10-06,2,2023,115,217,560,559,572,5,,
"abundance","nbsGARCH",0.95,"controls","PP",18.7999741531269,0,85,2949,"2949.14",,566,2022-10-06,3,2023,115,217,560,559,572,6,,
"abundance","nbsGARCH",0.95,"controls","PP",28.5540377953248,1,118,2949,"2949.14",,567,2022-10-06,4,2023,115,217,560,559,572,7,,
"abundance","nbsGARCH",0.95,"controls","PP",42.1489228553297,1,164,2949,"2949.14",,568,2022-10-06,5,2023,115,217,560,559,572,8,,
"abundance","nbsGARCH",0.95,"controls","PP",55.5051834559485,1,207,2949,"2949.14",,569,2022-10-06,6,2023,115,217,560,559,572,9,,
"abundance","nbsGARCH",0.95,"controls","PP",62.1354416554204,2,252,2949,"2949.14",,570,2022-10-06,7,2023,115,217,560,559,572,10,,
"abundance","nbsGARCH",0.95,"controls","PP",56.4872607076631,1,220,2949,"2949.14",,571,2022-10-06,8,2023,115,217,560,559,572,11,,
"abundance","nbsGARCH",0.95,"controls","PP",43.3813190785561,1,154,2949,"2949.14",,572,2022-10-06,9,2023,115,217,560,559,572,12,,
