"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-09-29",8,2022,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,246.337183181207,359.668817490217,"2916.14",2916,NA,559,217,560,559,572,-1,NA,NA
"2022-09-29",9,2022,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,222.869441047513,383.136559623911,"2916.14",2916,NA,560,217,560,559,572,0,NA,NA
"2022-09-29",10,2022,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,204.861470825505,401.144529845918,"2916.14",2916,NA,561,217,560,559,572,1,NA,NA
"2022-09-29",11,2022,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,189.679868076626,416.326132594797,"2916.14",2916,NA,562,217,560,559,572,2,NA,NA
"2022-09-29",12,2022,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,176.304520489197,429.701480182227,"2916.14",2916,NA,563,217,560,559,572,3,NA,NA
"2022-09-29",1,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,164.212232322039,441.793768349385,"2916.14",2916,NA,564,217,560,559,572,4,NA,NA
"2022-09-29",2,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,153.092194266794,452.91380640463,"2916.14",2916,NA,565,217,560,559,572,5,NA,NA
"2022-09-29",3,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,142.741893804401,463.264106867023,"2916.14",2916,NA,566,217,560,559,572,6,NA,NA
"2022-09-29",4,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,133.020663732617,472.985336938806,"2916.14",2916,NA,567,217,560,559,572,7,NA,NA
"2022-09-29",5,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,123.826084279387,482.179916392036,"2916.14",2916,NA,568,217,560,559,572,8,NA,NA
"2022-09-29",6,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,115.080836294685,490.925164376739,"2916.14",2916,NA,569,217,560,559,572,9,NA,NA
"2022-09-29",7,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,106.724850180708,499.281150490715,"2916.14",2916,NA,570,217,560,559,572,10,NA,NA
"2022-09-29",8,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,98.7103555374283,507.295645133995,"2916.14",2916,NA,571,217,560,559,572,11,NA,NA
"2022-09-29",9,2023,"abundance","ESSS",114,0.95,"all","PP",303.003000335712,90.998620170855,515.007380500568,"2916.14",2916,NA,572,217,560,559,572,12,NA,NA
