"","currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","pevGARCH","controls","DM",0.95,20.010019717541,12,29,2669,2669.01,NA,555,2022-07-07,4,2022,102,217,557,555,569,-2,NA,NA
"2","abundance","pevGARCH","controls","DM",0.95,18.8283209272227,9,31,2669,2669.01,NA,556,2022-07-07,5,2022,102,217,557,555,569,-1,NA,NA
"3","abundance","pevGARCH","controls","DM",0.95,17.4317100937714,7,31,2669,2669.01,NA,557,2022-07-07,6,2022,102,217,557,555,569,0,NA,NA
"4","abundance","pevGARCH","controls","DM",0.95,16.1597215402099,6,29,2669,2669.01,NA,558,2022-07-07,7,2022,102,217,557,555,569,1,NA,NA
"5","abundance","pevGARCH","controls","DM",0.95,15.3276160429891,5,28,2669,2669.01,NA,559,2022-07-07,8,2022,102,217,557,555,569,2,NA,NA
"6","abundance","pevGARCH","controls","DM",0.95,15.1509616027236,4,28,2669,2669.01,NA,560,2022-07-07,9,2022,102,217,557,555,569,3,NA,NA
"7","abundance","pevGARCH","controls","DM",0.95,15.6451433648599,4,29,2669,2669.01,NA,561,2022-07-07,10,2022,102,217,557,555,569,4,NA,NA
"8","abundance","pevGARCH","controls","DM",0.95,16.3994136578674,4,30,2669,2669.01,NA,562,2022-07-07,11,2022,102,217,557,555,569,5,NA,NA
"9","abundance","pevGARCH","controls","DM",0.95,17.2619396471047,5,30,2669,2669.01,NA,563,2022-07-07,12,2022,102,217,557,555,569,6,NA,NA
"10","abundance","pevGARCH","controls","DM",0.95,17.8822309850454,5,33,2669,2669.01,NA,564,2022-07-07,1,2023,102,217,557,555,569,7,NA,NA
"11","abundance","pevGARCH","controls","DM",0.95,18.3215628876481,5,33,2669,2669.01,NA,565,2022-07-07,2,2023,102,217,557,555,569,8,NA,NA
"12","abundance","pevGARCH","controls","DM",0.95,18.3828782381305,5,34,2669,2669.01,NA,566,2022-07-07,3,2023,102,217,557,555,569,9,NA,NA
"13","abundance","pevGARCH","controls","DM",0.95,18.0065825939059,5,32,2669,2669.01,NA,567,2022-07-07,4,2023,102,217,557,555,569,10,NA,NA
"14","abundance","pevGARCH","controls","DM",0.95,16.9113380908118,5,30,2669,2669.01,NA,568,2022-07-07,5,2023,102,217,557,555,569,11,NA,NA
"15","abundance","pevGARCH","controls","DM",0.95,15.7651270008282,4,29,2669,2669.01,NA,569,2022-07-07,6,2023,102,217,557,555,569,12,NA,NA
