"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbGARCH",0.95,"exclosures","PB",2.74954868061956,0,7,2638,"2638.07",,555,2022-06-30,4,2022,101,217,557,555,569,-2,,
"abundance","nbGARCH",0.95,"exclosures","PB",3.41183869104192,0,9,2638,"2638.07",,556,2022-06-30,5,2022,101,217,557,555,569,-1,,
"abundance","nbGARCH",0.95,"exclosures","PB",3.99331001773492,0,11,2638,"2638.07",,557,2022-06-30,6,2022,101,217,557,555,569,0,,
"abundance","nbGARCH",0.95,"exclosures","PB",4.5015650662264,0,13,2638,"2638.07",,558,2022-06-30,7,2022,101,217,557,555,569,1,,
"abundance","nbGARCH",0.95,"exclosures","PB",4.94417035522332,0,15,2638,"2638.07",,559,2022-06-30,8,2022,101,217,557,555,569,2,,
"abundance","nbGARCH",0.95,"exclosures","PB",5.3767637969319,0,17,2638,"2638.07",,560,2022-06-30,9,2022,101,217,557,555,569,3,,
"abundance","nbGARCH",0.95,"exclosures","PB",5.7547426022297,0,18,2638,"2638.07",,561,2022-06-30,10,2022,101,217,557,555,569,4,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.03020812808403,0,19,2638,"2638.07",,562,2022-06-30,11,2022,101,217,557,555,569,5,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.43591902434752,0,19,2638,"2638.07",,563,2022-06-30,12,2022,101,217,557,555,569,6,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.67734337367123,0,19,2638,"2638.07",,564,2022-06-30,1,2023,101,217,557,555,569,7,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.73953429634186,0,21,2638,"2638.07",,565,2022-06-30,2,2023,101,217,557,555,569,8,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.9409793045638,0,23,2638,"2638.07",,566,2022-06-30,3,2023,101,217,557,555,569,9,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.05207159114344,0,22,2638,"2638.07",,567,2022-06-30,4,2023,101,217,557,555,569,10,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.19746716658139,0,21,2638,"2638.07",,568,2022-06-30,5,2023,101,217,557,555,569,11,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.36047180152486,0,23,2638,"2638.07",,569,2022-06-30,6,2023,101,217,557,555,569,12,,
