"","currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","pevGARCH","controls","DM",0.95,25.488625662837,17,35,2485,2485.01,NA,554,2022-05-12,4,2022,94,217,555,554,567,-1,NA,NA
"2","abundance","pevGARCH","controls","DM",0.95,23.5366844237804,13,37,2485,2485.01,NA,555,2022-05-12,4,2022,94,217,555,554,567,0,NA,NA
"3","abundance","pevGARCH","controls","DM",0.95,21.5792402515089,10,36,2485,2485.01,NA,556,2022-05-12,5,2022,94,217,555,554,567,1,NA,NA
"4","abundance","pevGARCH","controls","DM",0.95,19.5533550913731,8,34,2485,2485.01,NA,557,2022-05-12,6,2022,94,217,555,554,567,2,NA,NA
"5","abundance","pevGARCH","controls","DM",0.95,17.7914766151602,7,32,2485,2485.01,NA,558,2022-05-12,7,2022,94,217,555,554,567,3,NA,NA
"6","abundance","pevGARCH","controls","DM",0.95,16.6102737442528,6,31,2485,2485.01,NA,559,2022-05-12,8,2022,94,217,555,554,567,4,NA,NA
"7","abundance","pevGARCH","controls","DM",0.95,16.2018147679919,5,30,2485,2485.01,NA,560,2022-05-12,9,2022,94,217,555,554,567,5,NA,NA
"8","abundance","pevGARCH","controls","DM",0.95,16.508356154389,5,30,2485,2485.01,NA,561,2022-05-12,10,2022,94,217,555,554,567,6,NA,NA
"9","abundance","pevGARCH","controls","DM",0.95,17.2956433909573,5,32,2485,2485.01,NA,562,2022-05-12,11,2022,94,217,555,554,567,7,NA,NA
"10","abundance","pevGARCH","controls","DM",0.95,17.9700938941589,5,33,2485,2485.01,NA,563,2022-05-12,12,2022,94,217,555,554,567,8,NA,NA
"11","abundance","pevGARCH","controls","DM",0.95,18.4002224416369,5,33,2485,2485.01,NA,564,2022-05-12,1,2023,94,217,555,554,567,9,NA,NA
"12","abundance","pevGARCH","controls","DM",0.95,18.4790356914775,5,32,2485,2485.01,NA,565,2022-05-12,2,2023,94,217,555,554,567,10,NA,NA
"13","abundance","pevGARCH","controls","DM",0.95,18.0030330895943,5,31,2485,2485.01,NA,566,2022-05-12,3,2023,94,217,555,554,567,11,NA,NA
"14","abundance","pevGARCH","controls","DM",0.95,17.6522434664988,5,32,2485,2485.01,NA,567,2022-05-12,4,2023,94,217,555,554,567,12,NA,NA
