"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","AutoArima","controls","DM",0.95,15.5537562562406,7.46807299793331,23.6394395145479,2737,"2737.02",,558,2022-08-04,7,2022,106,217,558,558,570,0,,
"abundance","AutoArima","controls","DM",0.95,15.2198616662943,6.06285824007016,24.3768650925185,2737,"2737.02",,559,2022-08-04,8,2022,106,217,558,558,570,1,,
"abundance","AutoArima","controls","DM",0.95,15.2093349433231,4.91842747778462,25.5002424088616,2737,"2737.02",,560,2022-08-04,9,2022,106,217,558,558,570,2,,
"abundance","AutoArima","controls","DM",0.95,15.1975634024048,4.17787742262486,26.2172493821848,2737,"2737.02",,561,2022-08-04,10,2022,106,217,558,558,570,3,,
"abundance","AutoArima","controls","DM",0.95,15.1895065186435,3.66407743998129,26.7149355973057,2737,"2737.02",,562,2022-08-04,11,2022,106,217,558,558,570,4,,
"abundance","AutoArima","controls","DM",0.95,15.1813445367988,3.30990433285859,27.052784740739,2737,"2737.02",,563,2022-08-04,12,2022,106,217,558,558,570,5,,
"abundance","AutoArima","controls","DM",0.95,15.1753187059913,3.05773832844299,27.2928990835397,2737,"2737.02",,564,2022-08-04,1,2023,106,217,558,558,570,6,,
"abundance","AutoArima","controls","DM",0.95,15.1695865219552,2.87933769128269,27.4598353526278,2737,"2737.02",,565,2022-08-04,2,2023,106,217,558,558,570,7,,
"abundance","AutoArima","controls","DM",0.95,15.165141527312,2.75099150707906,27.5792915475449,2737,"2737.02",,566,2022-08-04,3,2023,106,217,558,558,570,8,,
"abundance","AutoArima","controls","DM",0.95,15.1610804358279,2.65894899727997,27.6632118743759,2737,"2737.02",,567,2022-08-04,4,2023,106,217,558,558,570,9,,
"abundance","AutoArima","controls","DM",0.95,15.1578293243948,2.59235776617158,27.723300882618,2737,"2737.02",,568,2022-08-04,5,2023,106,217,558,558,570,10,,
"abundance","AutoArima","controls","DM",0.95,15.1549352312287,2.54419663587743,27.7656738265799,2737,"2737.02",,569,2022-08-04,6,2023,106,217,558,558,570,11,,
"abundance","AutoArima","controls","DM",0.95,15.1525699903504,2.50920358600651,27.7959363946943,2737,"2737.02",,570,2022-08-04,7,2023,106,217,558,558,570,12,,
