"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","NaiveArima","all","SF",0.95,1,-3.18441870800139,5.18441870800139,3103,"3103.18",,566,2023-03-09,3,2023,122,217,565,566,577,1,,
"abundance","NaiveArima","all","SF",0.95,1,-4.91766168750326,6.91766168750326,3103,"3103.18",,567,2023-03-09,4,2023,122,217,565,566,577,2,,
"abundance","NaiveArima","all","SF",0.95,1,-6.24762580240012,8.24762580240012,3103,"3103.18",,568,2023-03-09,5,2023,122,217,565,566,577,3,,
"abundance","NaiveArima","all","SF",0.95,1,-7.36883741600277,9.36883741600277,3103,"3103.18",,569,2023-03-09,6,2023,122,217,565,566,577,4,,
"abundance","NaiveArima","all","SF",0.95,1,-8.35664467741294,10.3566446774129,3103,"3103.18",,570,2023-03-09,7,2023,122,217,565,566,577,5,,
"abundance","NaiveArima","all","SF",0.95,1,-9.24969070475944,11.2496907047594,3103,"3103.18",,571,2023-03-09,8,2023,122,217,565,566,577,6,,
"abundance","NaiveArima","all","SF",0.95,1,-10.0709312827379,12.0709312827379,3103,"3103.18",,572,2023-03-09,9,2023,122,217,565,566,577,7,,
"abundance","NaiveArima","all","SF",0.95,1,-10.8353233750065,12.8353233750065,3103,"3103.18",,573,2023-03-09,10,2023,122,217,565,566,577,8,,
"abundance","NaiveArima","all","SF",0.95,1,-11.5532561240042,13.5532561240042,3103,"3103.18",,574,2023-03-09,11,2023,122,217,565,566,577,9,,
"abundance","NaiveArima","all","SF",0.95,1,-12.2322938011034,14.2322938011034,3103,"3103.18",,575,2023-03-09,12,2023,122,217,565,566,577,10,,
"abundance","NaiveArima","all","SF",0.95,1,-12.8781468201843,14.8781468201843,3103,"3103.18",,576,2023-03-09,1,2024,122,217,565,566,577,11,,
"abundance","NaiveArima","all","SF",0.95,1,-13.4952516048002,15.4952516048002,3103,"3103.18",,577,2023-03-09,2,2024,122,217,565,566,577,12,,
