"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","exclosures","SF",0.0163265306122448,-0.288718679446437,0.321371740670927,0.95,1344,"1344.19",,528,2020-10-22,2,2020,53,217,536,528,548,-8,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,529,2020-10-22,3,2020,53,217,536,528,548,-7,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,530,2020-10-22,4,2020,53,217,536,528,548,-6,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,531,2020-10-22,5,2020,53,217,536,528,548,-5,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,532,2020-10-22,6,2020,53,217,536,528,548,-4,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,533,2020-10-22,7,2020,53,217,536,528,548,-3,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,534,2020-10-22,8,2020,53,217,536,528,548,-2,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,535,2020-10-22,9,2020,53,217,536,528,548,-1,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,536,2020-10-22,10,2020,53,217,536,528,548,0,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,537,2020-10-22,11,2020,53,217,536,528,548,1,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,538,2020-10-22,12,2020,53,217,536,528,548,2,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,539,2020-10-22,1,2021,53,217,536,528,548,3,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,540,2020-10-22,2,2021,53,217,536,528,548,4,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,541,2020-10-22,3,2021,53,217,536,528,548,5,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,542,2020-10-22,4,2021,53,217,536,528,548,6,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,543,2020-10-22,5,2021,53,217,536,528,548,7,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,544,2020-10-22,6,2021,53,217,536,528,548,8,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,545,2020-10-22,7,2021,53,217,536,528,548,9,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,546,2020-10-22,8,2021,53,217,536,528,548,10,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,547,2020-10-22,9,2021,53,217,536,528,548,11,,
"abundance","simplexEDM","exclosures","SF",0.0163265306122449,-0.288718679446438,0.321371740670928,0.95,1344,"1344.19",,548,2020-10-22,10,2021,53,217,536,528,548,12,,
