"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","ESSS","controls","DM",8.74404975395358,1.62585494265515,15.862244565252,0.95,1912,1912.01,NA,549,2021-11-11,11,2021,74,217,549,549,561,0,NA,NA
"2","abundance","ESSS","controls","DM",8.74404975395358,-0.139907128987259,17.6280066368944,0.95,1912,1912.01,NA,550,2021-11-11,12,2021,74,217,549,549,561,1,NA,NA
"3","abundance","ESSS","controls","DM",8.74404975395358,-1.60876060962925,19.0968601175364,0.95,1912,1912.01,NA,551,2021-11-11,1,2022,74,217,549,549,561,2,NA,NA
"4","abundance","ESSS","controls","DM",8.74404975395358,-2.89367661122033,20.3817761191275,0.95,1912,1912.01,NA,552,2021-11-11,2,2022,74,217,549,549,561,3,NA,NA
"5","abundance","ESSS","controls","DM",8.74404975395358,-4.05019377495503,21.5382932828622,0.95,1912,1912.01,NA,553,2021-11-11,3,2022,74,217,549,549,561,4,NA,NA
"6","abundance","ESSS","controls","DM",8.74404975395358,-5.1105040101839,22.598603518091,0.95,1912,1912.01,NA,554,2021-11-11,4,2022,74,217,549,549,561,5,NA,NA
"7","abundance","ESSS","controls","DM",8.74404975395358,-6.09524445196241,23.5833439598696,0.95,1912,1912.01,NA,555,2021-11-11,4,2022,74,217,549,549,561,6,NA,NA
"8","abundance","ESSS","controls","DM",8.74404975395358,-7.01858470403243,24.5066842119396,0.95,1912,1912.01,NA,556,2021-11-11,5,2022,74,217,549,549,561,7,NA,NA
"9","abundance","ESSS","controls","DM",8.74404975395358,-7.8907522461438,25.378851754051,0.95,1912,1912.01,NA,557,2021-11-11,6,2022,74,217,549,549,561,8,NA,NA
"10","abundance","ESSS","controls","DM",8.74404975395358,-8.71941582733355,26.2075153352407,0.95,1912,1912.01,NA,558,2021-11-11,7,2022,74,217,549,549,561,9,NA,NA
"11","abundance","ESSS","controls","DM",8.74404975395358,-9.51050098374347,26.9986004916506,0.95,1912,1912.01,NA,559,2021-11-11,8,2022,74,217,549,549,561,10,NA,NA
"12","abundance","ESSS","controls","DM",8.74404975395358,-10.2686989994885,27.7567985073956,0.95,1912,1912.01,NA,560,2021-11-11,9,2022,74,217,549,549,561,11,NA,NA
"13","abundance","ESSS","controls","DM",8.74404975395358,-10.9977993916525,28.4858988995597,0.95,1912,1912.01,NA,561,2021-11-11,10,2022,74,217,549,549,561,12,NA,NA
