"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,1.35397918399869,4.98252528075377,3120,"3120.07",,566,2023-03-16,3,2023,123,217,565,566,577,1,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,1.17269102414208,5.16381344061038,3120,"3120.07",,567,2023-03-16,4,2023,123,217,565,566,577,2,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,1.00655327610393,5.32995118864854,3120,"3120.07",,568,2023-03-16,5,2023,123,217,565,566,577,3,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.852303135507182,5.48420132924528,3120,"3120.07",,569,2023-03-16,6,2023,123,217,565,566,577,4,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.70770390709823,5.62880055765424,3120,"3120.07",,570,2023-03-16,7,2023,123,217,565,566,577,5,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.571143088969241,5.76536137578322,3120,"3120.07",,571,2023-03-16,8,2023,123,217,565,566,577,6,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.441412716653312,5.89509174809915,3120,"3120.07",,572,2023-03-16,9,2023,123,217,565,566,577,7,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.31758010351823,6.01892436123424,3120,"3120.07",,573,2023-03-16,10,2023,123,217,565,566,577,8,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.198907283067104,6.13759718168536,3120,"3120.07",,574,2023-03-16,11,2023,123,217,565,566,577,9,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,0.0847984432418079,6.25170602151066,3120,"3120.07",,575,2023-03-16,12,2023,123,217,565,566,577,10,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,-0.0252356901729125,6.36174015492538,3120,"3120.07",,576,2023-03-16,1,2024,123,217,565,566,577,11,,
"abundance","ESSS",0.95,"exclosures","PE",3.16825223237623,-0.131602757347872,6.46810722210034,3120,"3120.07",,577,2023-03-16,2,2024,123,217,565,566,577,12,,
