"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","controls","DS",0.086891568618174,0,1,0.95,455,"455.04",,527,2020-01-31,1,2020,20,217,527,527,539,0,,
"abundance","nbsGARCH","controls","DS",0.0830500859033511,0,1,0.95,455,"455.04",,528,2020-01-31,2,2020,20,217,527,527,539,1,,
"abundance","nbsGARCH","controls","DS",0.0750799177767559,0,1,0.95,455,"455.04",,529,2020-01-31,3,2020,20,217,527,527,539,2,,
"abundance","nbsGARCH","controls","DS",0.0707216322152056,0,1,0.95,455,"455.04",,530,2020-01-31,4,2020,20,217,527,527,539,3,,
"abundance","nbsGARCH","controls","DS",0.0710347541985861,0,1,0.95,455,"455.04",,531,2020-01-31,5,2020,20,217,527,527,539,4,,
"abundance","nbsGARCH","controls","DS",0.0760458335574241,0,1,0.95,455,"455.04",,532,2020-01-31,6,2020,20,217,527,527,539,5,,
"abundance","nbsGARCH","controls","DS",0.085294251064906,0,1,0.95,455,"455.04",,533,2020-01-31,7,2020,20,217,527,527,539,6,,
"abundance","nbsGARCH","controls","DS",0.0968196027296132,0,1,0.95,455,"455.04",,534,2020-01-31,8,2020,20,217,527,527,539,7,,
"abundance","nbsGARCH","controls","DS",0.109087339655529,0,1,0.95,455,"455.04",,535,2020-01-31,9,2020,20,217,527,527,539,8,,
"abundance","nbsGARCH","controls","DS",0.11701600108556,0,1,0.95,455,"455.04",,536,2020-01-31,10,2020,20,217,527,527,539,9,,
"abundance","nbsGARCH","controls","DS",0.118231204262736,0,1,0.95,455,"455.04",,537,2020-01-31,11,2020,20,217,527,527,539,10,,
"abundance","nbsGARCH","controls","DS",0.111866986242765,0,1,0.95,455,"455.04",,538,2020-01-31,12,2020,20,217,527,527,539,11,,
"abundance","nbsGARCH","controls","DS",0.100263239311994,0,1,0.95,455,"455.04",,539,2020-01-31,1,2021,20,217,527,527,539,12,,
