"","currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","pevGARCH","controls","DM",0.95,20.010019717541,12,30,2691,2691.01,NA,555,2022-07-14,4,2022,103,217,557,555,569,-2,NA,NA
"2","abundance","pevGARCH","controls","DM",0.95,18.8283209272227,9,30,2691,2691.01,NA,556,2022-07-14,5,2022,103,217,557,555,569,-1,NA,NA
"3","abundance","pevGARCH","controls","DM",0.95,17.4317100937714,7,29,2691,2691.01,NA,557,2022-07-14,6,2022,103,217,557,555,569,0,NA,NA
"4","abundance","pevGARCH","controls","DM",0.95,16.1597215402099,6,29,2691,2691.01,NA,558,2022-07-14,7,2022,103,217,557,555,569,1,NA,NA
"5","abundance","pevGARCH","controls","DM",0.95,15.3276160429891,5,28,2691,2691.01,NA,559,2022-07-14,8,2022,103,217,557,555,569,2,NA,NA
"6","abundance","pevGARCH","controls","DM",0.95,15.1509616027236,5,27,2691,2691.01,NA,560,2022-07-14,9,2022,103,217,557,555,569,3,NA,NA
"7","abundance","pevGARCH","controls","DM",0.95,15.6451433648599,5,29,2691,2691.01,NA,561,2022-07-14,10,2022,103,217,557,555,569,4,NA,NA
"8","abundance","pevGARCH","controls","DM",0.95,16.3994136578674,5,30,2691,2691.01,NA,562,2022-07-14,11,2022,103,217,557,555,569,5,NA,NA
"9","abundance","pevGARCH","controls","DM",0.95,17.2619396471047,5,32,2691,2691.01,NA,563,2022-07-14,12,2022,103,217,557,555,569,6,NA,NA
"10","abundance","pevGARCH","controls","DM",0.95,17.8477853030355,5,32,2691,2691.01,NA,564,2022-07-14,1,2023,103,217,557,555,569,7,NA,NA
"11","abundance","pevGARCH","controls","DM",0.95,17.9565962510167,6,32,2691,2691.01,NA,565,2022-07-14,2,2023,103,217,557,555,569,8,NA,NA
"12","abundance","pevGARCH","controls","DM",0.95,17.6208706763578,6,32,2691,2691.01,NA,566,2022-07-14,3,2023,103,217,557,555,569,9,NA,NA
"13","abundance","pevGARCH","controls","DM",0.95,16.6140441837008,5,32,2691,2691.01,NA,567,2022-07-14,4,2023,103,217,557,555,569,10,NA,NA
"14","abundance","pevGARCH","controls","DM",0.95,15.5166487535565,5,29,2691,2691.01,NA,568,2022-07-14,5,2023,103,217,557,555,569,11,NA,NA
"15","abundance","pevGARCH","controls","DM",0.95,14.707267232332,4,27,2691,2691.01,NA,569,2022-07-14,6,2023,103,217,557,555,569,12,NA,NA
