"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","DM",0.95,14.0682811201238,8,21,2997,"2997.02",,560,2022-10-20,9,2022,117,217,560,560,572,0,,
"abundance","pevGARCH","controls","DM",0.95,14.7164028307605,6,25,2997,"2997.02",,561,2022-10-20,10,2022,117,217,560,560,572,1,,
"abundance","pevGARCH","controls","DM",0.95,15.6002781307087,5,28,2997,"2997.02",,562,2022-10-20,11,2022,117,217,560,560,572,2,,
"abundance","pevGARCH","controls","DM",0.95,16.5767173642386,5,31,2997,"2997.02",,563,2022-10-20,12,2022,117,217,560,560,572,3,,
"abundance","pevGARCH","controls","DM",0.95,17.4425930493531,5,33,2997,"2997.02",,564,2022-10-20,1,2023,117,217,560,560,572,4,,
"abundance","pevGARCH","controls","DM",0.95,17.8015650852693,5,34,2997,"2997.02",,565,2022-10-20,2,2023,117,217,560,560,572,5,,
"abundance","pevGARCH","controls","DM",0.95,18.0112147274103,5,33,2997,"2997.02",,566,2022-10-20,3,2023,117,217,560,560,572,6,,
"abundance","pevGARCH","controls","DM",0.95,17.0550929448894,5,31,2997,"2997.02",,567,2022-10-20,4,2023,117,217,560,560,572,7,,
"abundance","pevGARCH","controls","DM",0.95,15.7618701665494,4,30,2997,"2997.02",,568,2022-10-20,5,2023,117,217,560,560,572,8,,
"abundance","pevGARCH","controls","DM",0.95,14.7792251231866,4,28,2997,"2997.02",,569,2022-10-20,6,2023,117,217,560,560,572,9,,
"abundance","pevGARCH","controls","DM",0.95,14.2746160882775,3,27,2997,"2997.02",,570,2022-10-20,7,2023,117,217,560,560,572,10,,
"abundance","pevGARCH","controls","DM",0.95,14.1696759390454,3,28,2997,"2997.02",,571,2022-10-20,8,2023,117,217,560,560,572,11,,
"abundance","pevGARCH","controls","DM",0.95,14.0687704895892,4,27,2997,"2997.02",,572,2022-10-20,9,2023,117,217,560,560,572,12,,
