"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2019-11-15",10,2019,"abundance","simplexEDM","all","PP",52.9732769705232,7.92247774063072,98.0240762004158,"19.14",1,0.95,19,NA,524,217,524,524,536,0,NA,NA
"2019-11-15",11,2019,"abundance","simplexEDM","all","PP",38.3441609853308,8.25641251893461,68.431909451727,"19.14",1,0.95,19,NA,525,217,524,524,536,1,NA,NA
"2019-11-15",12,2019,"abundance","simplexEDM","all","PP",26.7194424368765,-6.38169622473187,59.8205810984849,"19.14",1,0.95,19,NA,526,217,524,524,536,2,NA,NA
"2019-11-15",1,2020,"abundance","simplexEDM","all","PP",13.8667594377337,-40.6506224752442,68.3841413507117,"19.14",1,0.95,19,NA,527,217,524,524,536,3,NA,NA
"2019-11-15",2,2020,"abundance","simplexEDM","all","PP",3.5614968908727,-3.04340646758882,10.1664002493342,"19.14",1,0.95,19,NA,528,217,524,524,536,4,NA,NA
"2019-11-15",3,2020,"abundance","simplexEDM","all","PP",6.16720053571134,-3.59368250916502,15.9280835805877,"19.14",1,0.95,19,NA,529,217,524,524,536,5,NA,NA
"2019-11-15",4,2020,"abundance","simplexEDM","all","PP",11.7111576593802,-22.5167913495558,45.9391066683163,"19.14",1,0.95,19,NA,530,217,524,524,536,6,NA,NA
"2019-11-15",5,2020,"abundance","simplexEDM","all","PP",40.6847972700624,-5.18930662134623,86.5589011614711,"19.14",1,0.95,19,NA,531,217,524,524,536,7,NA,NA
"2019-11-15",6,2020,"abundance","simplexEDM","all","PP",61.5301857865883,38.7413158590391,84.3190557141374,"19.14",1,0.95,19,NA,532,217,524,524,536,8,NA,NA
"2019-11-15",7,2020,"abundance","simplexEDM","all","PP",65.3813968007787,57.9180107459376,72.8447828556198,"19.14",1,0.95,19,NA,533,217,524,524,536,9,NA,NA
"2019-11-15",8,2020,"abundance","simplexEDM","all","PP",77.3306456798256,19.5366412376652,135.124650121986,"19.14",1,0.95,19,NA,534,217,524,524,536,10,NA,NA
"2019-11-15",9,2020,"abundance","simplexEDM","all","PP",50.887427171598,-6.57517388808414,108.35002823128,"19.14",1,0.95,19,NA,535,217,524,524,536,11,NA,NA
"2019-11-15",10,2020,"abundance","simplexEDM","all","PP",23.9444783127661,-7.07772941173815,54.9666860372703,"19.14",1,0.95,19,NA,536,217,524,524,536,12,NA,NA
