"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbsGARCH","controls","DM",10.2959780297499,5,17,0.95,1928,1928.01,NA,549,2021-11-11,11,2021,74,217,549,549,561,0,NA,NA
"2","abundance","nbsGARCH","controls","DM",11.8018572008322,4,21,0.95,1928,1928.01,NA,550,2021-11-11,12,2021,74,217,549,549,561,1,NA,NA
"3","abundance","nbsGARCH","controls","DM",13.367410214495,4,25,0.95,1928,1928.01,NA,551,2021-11-11,1,2022,74,217,549,549,561,2,NA,NA
"4","abundance","nbsGARCH","controls","DM",14.746690953829,4,29,0.95,1928,1928.01,NA,552,2021-11-11,2,2022,74,217,549,549,561,3,NA,NA
"5","abundance","nbsGARCH","controls","DM",15.6648093214816,4,30,0.95,1928,1928.01,NA,553,2021-11-11,3,2022,74,217,549,549,561,4,NA,NA
"6","abundance","nbsGARCH","controls","DM",15.9245721028844,4,30,0.95,1928,1928.01,NA,554,2021-11-11,4,2022,74,217,549,549,561,5,NA,NA
"7","abundance","nbsGARCH","controls","DM",15.561324354524,4,30,0.95,1928,1928.01,NA,555,2021-11-11,4,2022,74,217,549,549,561,6,NA,NA
"8","abundance","nbsGARCH","controls","DM",14.7817939992131,3,28,0.95,1928,1928.01,NA,556,2021-11-11,5,2022,74,217,549,549,561,7,NA,NA
"9","abundance","nbsGARCH","controls","DM",13.91113417642,3,28,0.95,1928,1928.01,NA,557,2021-11-11,6,2022,74,217,549,549,561,8,NA,NA
"10","abundance","nbsGARCH","controls","DM",13.2205173978595,3,26,0.95,1928,1928.01,NA,558,2021-11-11,7,2022,74,217,549,549,561,9,NA,NA
"11","abundance","nbsGARCH","controls","DM",12.8949488795426,3,25,0.95,1928,1928.01,NA,559,2021-11-11,8,2022,74,217,549,549,561,10,NA,NA
"12","abundance","nbsGARCH","controls","DM",13.0351795917017,3,24,0.95,1928,1928.01,NA,560,2021-11-11,9,2022,74,217,549,549,561,11,NA,NA
"13","abundance","nbsGARCH","controls","DM",13.6483472795437,3,25,0.95,1928,1928.01,NA,561,2021-11-11,10,2022,74,217,549,549,561,12,NA,NA
