"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-08-04",7,2022,"abundance","AutoArima","controls","PE",106,0.95,0.119899298420869,-1.37938653515347,1.61918513199521,"2737.9",2737,NA,558,217,558,558,570,0,NA,NA
"2022-08-04",8,2022,"abundance","AutoArima","controls","PE",106,0.95,0.120251225987133,-1.39927804885583,1.6397805008301,"2737.9",2737,NA,559,217,558,558,570,1,NA,NA
"2022-08-04",9,2022,"abundance","AutoArima","controls","PE",106,0.95,0.120603153553397,-1.41890339838228,1.66010970548907,"2737.9",2737,NA,560,217,558,558,570,2,NA,NA
"2022-08-04",10,2022,"abundance","AutoArima","controls","PE",106,0.95,0.120955081119661,-1.43827281428273,1.68018297652205,"2737.9",2737,NA,561,217,558,558,570,3,NA,NA
"2022-08-04",11,2022,"abundance","AutoArima","controls","PE",106,0.95,0.121307008685925,-1.45739588804577,1.70000990541762,"2737.9",2737,NA,562,217,558,558,570,4,NA,NA
"2022-08-04",12,2022,"abundance","AutoArima","controls","PE",106,0.95,0.121658936252189,-1.47628162662778,1.71959949913216,"2737.9",2737,NA,563,217,558,558,570,5,NA,NA
"2022-08-04",1,2023,"abundance","AutoArima","controls","PE",106,0.95,0.122010863818453,-1.49493850114176,1.73896022877867,"2737.9",2737,NA,564,217,558,558,570,6,NA,NA
"2022-08-04",2,2023,"abundance","AutoArima","controls","PE",106,0.95,0.122362791384717,-1.51337449045284,1.75810007322228,"2737.9",2737,NA,565,217,558,558,570,7,NA,NA
"2022-08-04",3,2023,"abundance","AutoArima","controls","PE",106,0.95,0.122714718950981,-1.53159712031676,1.77702655821872,"2737.9",2737,NA,566,217,558,558,570,8,NA,NA
"2022-08-04",4,2023,"abundance","AutoArima","controls","PE",106,0.95,0.123066646517245,-1.549613498606,1.79574679164049,"2737.9",2737,NA,567,217,558,558,570,9,NA,NA
"2022-08-04",5,2023,"abundance","AutoArima","controls","PE",106,0.95,0.123418574083509,-1.56743034709118,1.81426749525819,"2737.9",2737,NA,568,217,558,558,570,10,NA,NA
"2022-08-04",6,2023,"abundance","AutoArima","controls","PE",106,0.95,0.123770501649773,-1.58505403018071,1.83259503348026,"2737.9",2737,NA,569,217,558,558,570,11,NA,NA
"2022-08-04",7,2023,"abundance","AutoArima","controls","PE",106,0.95,0.124122429216037,-1.60249058096713,1.8507354393992,"2737.9",2737,NA,570,217,558,558,570,12,NA,NA
