"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-02-16",2,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.643,119,0.95,"3033.1",3033,NA,565,217,564,565,576,1,NA,NA
"2023-02-16",3,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.643,119,0.95,"3033.1",3033,NA,566,217,564,565,576,2,NA,NA
"2023-02-16",4,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.643,119,0.95,"3033.1",3033,NA,567,217,564,565,576,3,NA,NA
"2023-02-16",5,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.643,119,0.95,"3033.1",3033,NA,568,217,564,565,576,4,NA,NA
"2023-02-16",6,2023,"abundance","jags_RW","controls","DM",12.632,10.968,15.644,119,0.95,"3033.1",3033,NA,569,217,564,565,576,5,NA,NA
"2023-02-16",7,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.644,119,0.95,"3033.1",3033,NA,570,217,564,565,576,6,NA,NA
"2023-02-16",8,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.644,119,0.95,"3033.1",3033,NA,571,217,564,565,576,7,NA,NA
"2023-02-16",9,2023,"abundance","jags_RW","controls","DM",12.631,10.968,15.644,119,0.95,"3033.1",3033,NA,572,217,564,565,576,8,NA,NA
"2023-02-16",10,2023,"abundance","jags_RW","controls","DM",12.632,10.967,15.644,119,0.95,"3033.1",3033,NA,573,217,564,565,576,9,NA,NA
"2023-02-16",11,2023,"abundance","jags_RW","controls","DM",12.632,10.968,15.645,119,0.95,"3033.1",3033,NA,574,217,564,565,576,10,NA,NA
"2023-02-16",12,2023,"abundance","jags_RW","controls","DM",12.632,10.967,15.645,119,0.95,"3033.1",3033,NA,575,217,564,565,576,11,NA,NA
"2023-02-16",1,2024,"abundance","jags_RW","controls","DM",12.632,10.968,15.645,119,0.95,"3033.1",3033,NA,576,217,564,565,576,12,NA,NA
