"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","DM",0.95,20.010019717541,12,29,2645,"2645.02",,555,2022-06-30,4,2022,101,217,557,555,569,-2,,
"abundance","pevGARCH","controls","DM",0.95,18.8283209272227,9,31,2645,"2645.02",,556,2022-06-30,5,2022,101,217,557,555,569,-1,,
"abundance","pevGARCH","controls","DM",0.95,17.4317100937714,7,29,2645,"2645.02",,557,2022-06-30,6,2022,101,217,557,555,569,0,,
"abundance","pevGARCH","controls","DM",0.95,16.1597215402099,5,29,2645,"2645.02",,558,2022-06-30,7,2022,101,217,557,555,569,1,,
"abundance","pevGARCH","controls","DM",0.95,15.3276160429891,5,27,2645,"2645.02",,559,2022-06-30,8,2022,101,217,557,555,569,2,,
"abundance","pevGARCH","controls","DM",0.95,15.1509616027236,4,27,2645,"2645.02",,560,2022-06-30,9,2022,101,217,557,555,569,3,,
"abundance","pevGARCH","controls","DM",0.95,15.6104045090675,5,29,2645,"2645.02",,561,2022-06-30,10,2022,101,217,557,555,569,4,,
"abundance","pevGARCH","controls","DM",0.95,16.3233123599666,5,30,2645,"2645.02",,562,2022-06-30,11,2022,101,217,557,555,569,5,,
"abundance","pevGARCH","controls","DM",0.95,17.1683520063339,5,32,2645,"2645.02",,563,2022-06-30,12,2022,101,217,557,555,569,6,,
"abundance","pevGARCH","controls","DM",0.95,17.8662253529025,5,32,2645,"2645.02",,564,2022-06-30,1,2023,101,217,557,555,569,7,,
"abundance","pevGARCH","controls","DM",0.95,18.3083343009853,6,33,2645,"2645.02",,565,2022-06-30,2,2023,101,217,557,555,569,8,,
"abundance","pevGARCH","controls","DM",0.95,18.3721578413956,6,33,2645,"2645.02",,566,2022-06-30,3,2023,101,217,557,555,569,9,,
"abundance","pevGARCH","controls","DM",0.95,17.9980996654708,5,33,2645,"2645.02",,567,2022-06-30,4,2023,101,217,557,555,569,10,,
"abundance","pevGARCH","controls","DM",0.95,16.9049091679515,5,30,2645,"2645.02",,568,2022-06-30,5,2023,101,217,557,555,569,11,,
"abundance","pevGARCH","controls","DM",0.95,15.7603072640633,5,29,2645,"2645.02",,569,2022-06-30,6,2023,101,217,557,555,569,12,,
