"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-02-16",2,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.391678325177269,0,2,"3044.9",3044,NA,565,217,564,565,576,1,NA,NA
"2023-02-16",3,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.545056894500687,0,3,"3044.9",3044,NA,566,217,564,565,576,2,NA,NA
"2023-02-16",4,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.605116572408261,0,3,"3044.9",3044,NA,567,217,564,565,576,3,NA,NA
"2023-02-16",5,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.628634315638224,0,3,"3044.9",3044,NA,568,217,564,565,576,4,NA,NA
"2023-02-16",6,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.637843182223665,0,3,"3044.9",3044,NA,569,217,564,565,576,5,NA,NA
"2023-02-16",7,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.641449100734005,0,3,"3044.9",3044,NA,570,217,564,565,576,6,NA,NA
"2023-02-16",8,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.642861070248131,0,3,"3044.9",3044,NA,571,217,564,565,576,7,NA,NA
"2023-02-16",9,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.643413954995496,0,3,"3044.9",3044,NA,572,217,564,565,576,8,NA,NA
"2023-02-16",10,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.643630447991253,0,3,"3044.9",3044,NA,573,217,564,565,576,9,NA,NA
"2023-02-16",11,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.643715220116737,0,3,"3044.9",3044,NA,574,217,564,565,576,10,NA,NA
"2023-02-16",12,2023,"abundance","pevGARCH","controls","PF",119,0.95,0.643748414322914,0,3,"3044.9",3044,NA,575,217,564,565,576,11,NA,NA
"2023-02-16",1,2024,"abundance","pevGARCH","controls","PF",119,0.95,0.643761412172268,0,3,"3044.9",3044,NA,576,217,564,565,576,12,NA,NA
